COUNTRY,DT_REF,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FOG,RAIN,SNOW,HAIL,THUNDER,TORNADO
ARGENTINA,2019-12-23,729.3076923076923,493.87179487179486,10086.072463768116,9727.141025641025,111.32051282051282,88.37179487179488,158.01282051282053,356.8,881.5641025641025,566.1410256410256,8.6,"",1,1,0,1,1,0
WAKE ISLAND,2019-10-15,823.0,710.0,10111.0,10097.0,52.0,86.5,120.5,"",855.5,805.0,"","",0,0,0,0,0,0
BOSNIA AND HERZEGOVINA,2019-11-16,577.7857142857143,485.5,10138.142857142857,9481.7,72.58333333333333,77.5,138.35714285714286,340.0,624.3571428571429,521.9285714285714,5.75,"",1,1,0,0,0,0
IRAN,2019-08-09,855.7263157894737,513.978947368421,9996.649122807017,9090.947368421053,56.78947368421053,80.01075268817205,142.50537634408602,307.75,962.0526315789474,746.2947368421053,10.666666666666666,"",0,1,0,0,1,0
MEXICO,2019-09-04,788.6101694915254,670.2155172413793,10099.009900990099,9102.459016393443,83.27678571428571,48.46363636363636,103.48181818181818,264.2857142857143,898.4067796610169,681.8983050847457,29.842105263157894,"",1,1,0,0,1,0
CZECH REPUBLIC,2019-08-11,680.675,561.925,10164.91304347826,9571.575757575758,202.82051282051282,55.55,113.3,254.6,782.5,563.6,20.029411792755127,"",1,1,0,0,1,0
RWANDA,2019-04-20,733.75,622.25,"","",62.0,26.25,89.5,"",797.25,635.0,"","",0,1,0,0,1,0
VIRGIN ISLANDS (BRITISH),2019-01-11,801.0,678.0,"","",100.0,41.0,60.0,"",842.0,752.0,"","",0,0,0,0,0,0
MALI,2019-11-18,837.1538461538462,523.6923076923077,10099.0,9815.09090909091,61.07692307692308,50.84615384615385,85.23076923076923,"",964.0769230769231,729.6923076923077,"","",0,0,0,0,0,0
TRINIDAD AND TOBAGO,2019-08-29,845.0,745.0,10131.5,10108.0,76.5,63.0,115.5,171.0,913.0,786.0,"","",0,0,0,0,0,0
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,2019-06-09,313.0,287.0,9948.5,9946.0,"",40.5,89.5,"",351.0,289.0,"","",0,0,0,0,0,0
VIRGIN ISLANDS (U.S.),2019-04-05,792.5,666.0,10181.666666666666,10161.0,100.0,34.25,160.0,241.0,833.25,755.75,"","",0,0,0,0,0,0
NICARAGUA,2019-12-14,805.4285714285714,705.4285714285714,"","",56.857142857142854,54.142857142857146,91.57142857142857,"",862.5714285714286,721.1428571428571,"","",0,1,0,0,0,0
HUNGARY,2019-07-31,759.5882352941177,659.9117647058823,10116.48,9901.115384615385,60.22222222222222,51.088235294117645,123.08823529411765,258.6666666666667,871.2941176470588,668.375,19.8,"",0,1,0,0,1,0
ARUBA,2019-04-01,814.0,724.0,10126.0,10122.0,87.0,181.0,220.0,289.0,874.0,784.0,"","",0,0,0,0,0,0
UGANDA,2019-08-18,717.0,645.0,"","",61.0,52.0,120.0,"",770.0,662.0,"","",0,1,0,0,0,0
TURKMENISTAN,2019-02-08,441.69565217391306,335.0869565217391,10207.4,9995.25,67.47826086956522,78.69565217391305,124.73913043478261,230.5,543.4347826086956,331.60869565217394,"","",1,0,0,0,0,0
INDIA,2019-01-20,697.3176470588236,533.8,10153.666666666666,9575.754716981131,25.7396449704142,20.24705882352941,48.947712418300654,"",824.6294117647059,553.9,5.0,"",1,1,1,0,1,0
SURINAME,2019-02-11,802.6666666666666,721.0,10120.0,"",85.66666666666667,87.0,130.0,220.0,864.6666666666666,755.0,"","",0,1,0,0,0,0
GUATEMALA,2019-07-03,786.6,643.5,"","",58.4,63.3,117.5,"",861.8,660.2,"","",1,0,0,0,0,0
NORTHERN MARIANA ISLANDS,2019-10-28,821.75,757.5,10123.0,9965.666666666666,77.25,92.0,144.75,220.0,860.0,788.0,16.0,"",0,1,0,0,0,0
BELARUS,2019-09-13,604.6086956521739,508.69565217391306,10219.388888888889,10016.722222222223,85.91304347826087,69.3,116.5,217.8,719.8695652173913,486.4347826086956,"","",0,1,0,0,0,0
BRUNEI,2019-01-04,841.0,777.0,"","",63.0,38.0,89.0,"",898.0,743.0,"","",0,0,0,0,1,0
BRITISH INDIAN OCEAN TERRITORY,2019-05-18,843.0,768.0,10110.0,"",62.0,120.0,150.0,"",892.0,808.0,"","",0,0,0,0,0,0
OMAN,2019-06-03,938.8333333333334,588.8333333333334,10010.5,9703.375,60.0,90.66666666666667,148.5,"",1064.4166666666667,825.9166666666666,"","",0,0,0,0,0,0
INDONESIA,2019-10-23,820.433628318584,726.8761061946902,10095.038834951456,10001.83495145631,50.31858407079646,40.203539823008846,83.8125,"",909.8495575221239,742.0442477876106,"","",1,1,0,0,1,1
POLAND,2019-12-15,409.3625,348.4875,10035.05357142857,9781.559322033898,132.5897435897436,101.175,156.275,251.75510204081633,455.9125,359.2375,9.225806497758434,50.0,1,1,1,0,0,0
PAKISTAN,2019-09-10,871.0,658.2571428571429,9990.6,9128.416666666666,31.6,29.942857142857143,66.54545454545455,"",975.9428571428572,776.2571428571429,"","",0,0,0,0,0,0
